,index,arrive_time,depart_time,destination,direction,origin,price,travel_time,depart_drive_time,depart_drive_time_stamp,arrive_time_act,agony
0,3,2018-07-20 23:10:00-07:00,2018-07-20 16:30:00-04:00,SEA,outbound,CLT,252.0,0 days 09:40:00.000000000,0 days 01:32:00.000000000,2018-07-20 12:58:00-04:00,2018-07-21 02:10:00-04:00,506.66666666666663
1,6,2018-07-20 18:20:00-07:00,2018-07-20 13:25:00-04:00,SEA,outbound,ATL,257.0,0 days 07:55:00.000000000,0 days 02:23:00.000000000,2018-07-20 09:02:00-04:00,2018-07-20 21:20:00-04:00,510.6666666666667
2,9,2018-07-21 22:45:00-07:00,2018-07-21 17:40:00-04:00,SEA,outbound,ATL,257.0,0 days 08:05:00.000000000,0 days 02:22:00.000000000,2018-07-21 13:18:00-04:00,2018-07-22 01:45:00-04:00,513.3333333333334
3,9,2018-07-20 00:50:00-07:00,2018-07-20 20:10:00-04:00,SEA,outbound,ATL,257.0,0 days 07:40:00.000000000,0 days 02:46:00.000000000,2018-07-20 15:24:00-04:00,2018-07-21 03:50:00-04:00,521.0
4,8,2018-07-21 22:55:00-07:00,2018-07-21 17:15:00-04:00,SEA,outbound,ATL,257.0,0 days 08:40:00.000000000,0 days 02:22:00.000000000,2018-07-21 12:53:00-04:00,2018-07-22 01:55:00-04:00,525.0
5,4,2018-07-21 18:50:00-07:00,2018-07-21 13:40:00-04:00,SEA,outbound,CLT,306.0,0 days 08:10:00.000000000,0 days 01:29:00.000000000,2018-07-21 10:11:00-04:00,2018-07-21 21:50:00-04:00,528.6666666666667
6,6,2018-07-21 21:30:00-07:00,2018-07-21 16:15:00-04:00,SEA,outbound,CLT,306.0,0 days 08:15:00.000000000,0 days 01:29:00.000000000,2018-07-21 12:46:00-04:00,2018-07-22 00:30:00-04:00,530.3333333333334
7,10,2018-07-21 22:25:00-07:00,2018-07-21 18:10:00-04:00,SEA,outbound,ATL,293.0,0 days 07:15:00.000000000,0 days 02:23:00.000000000,2018-07-21 13:47:00-04:00,2018-07-22 01:25:00-04:00,533.3333333333334
8,6,2018-07-21 21:30:00-07:00,2018-07-21 16:50:00-04:00,SEA,outbound,ATL,293.0,0 days 07:40:00.000000000,0 days 02:22:00.000000000,2018-07-21 12:28:00-04:00,2018-07-22 00:30:00-04:00,541.0
9,7,2018-07-21 22:40:00-07:00,2018-07-21 17:15:00-04:00,SEA,outbound,ATL,293.0,0 days 08:25:00.000000000,0 days 02:22:00.000000000,2018-07-21 12:53:00-04:00,2018-07-22 01:40:00-04:00,556.0
10,5,2018-07-21 22:25:00-07:00,2018-07-21 16:30:00-04:00,SEA,outbound,ATL,293.0,0 days 08:55:00.000000000,0 days 02:21:00.000000000,2018-07-21 12:09:00-04:00,2018-07-22 01:25:00-04:00,565.3333333333334
11,0,2018-07-21 13:05:00-07:00,2018-07-21 06:00:00-04:00,SEA,outbound,CLT,306.0,0 days 10:05:00.000000000,0 days 01:32:00.000000000,2018-07-21 02:28:00-04:00,2018-07-21 16:05:00-04:00,569.0
12,8,2018-07-20 00:10:00-07:00,2018-07-20 18:35:00-04:00,SEA,outbound,ATL,293.0,0 days 08:35:00.000000000,0 days 02:54:00.000000000,2018-07-20 13:41:00-04:00,2018-07-21 03:10:00-04:00,580.6666666666667
13,5,2018-07-21 22:40:00-07:00,2018-07-21 13:40:00-04:00,SEA,outbound,CLT,310.0,0 days 12:00:00.000000000,0 days 01:29:00.000000000,2018-07-21 10:11:00-04:00,2018-07-22 01:40:00-04:00,609.3333333333334
14,7,2018-07-21 23:30:00-07:00,2018-07-21 16:15:00-04:00,SEA,outbound,CLT,361.0,0 days 10:15:00.000000000,0 days 01:29:00.000000000,2018-07-21 12:46:00-04:00,2018-07-22 02:30:00-04:00,625.3333333333334
15,0,2018-07-21 10:15:00-07:00,2018-07-21 06:10:00-04:00,SEA,outbound,ATL,399.0,0 days 07:05:00.000000000,0 days 02:19:00.000000000,2018-07-21 01:51:00-04:00,2018-07-21 13:15:00-04:00,633.3333333333333
16,4,2018-07-21 13:55:00-07:00,2018-07-21 09:30:00-04:00,SEA,outbound,ATL,403.0,0 days 07:25:00.000000000,0 days 02:17:00.000000000,2018-07-21 05:13:00-04:00,2018-07-21 16:55:00-04:00,642.6666666666667
17,2,2018-07-21 16:40:00-07:00,2018-07-21 08:25:00-04:00,SEA,outbound,CLT,361.0,0 days 11:15:00.000000000,0 days 01:30:00.000000000,2018-07-21 04:55:00-04:00,2018-07-21 19:40:00-04:00,646.0
18,2,2018-07-20 11:35:00-07:00,2018-07-20 07:00:00-04:00,SEA,outbound,ATL,403.0,0 days 07:35:00.000000000,0 days 02:20:00.000000000,2018-07-20 02:40:00-04:00,2018-07-20 14:35:00-04:00,648.0
19,3,2018-07-21 11:45:00-07:00,2018-07-21 07:05:00-04:00,SEA,outbound,ATL,403.0,0 days 07:40:00.000000000,0 days 02:19:00.000000000,2018-07-21 02:46:00-04:00,2018-07-21 14:45:00-04:00,649.0
20,2,2018-07-21 11:15:00-07:00,2018-07-21 06:15:00-04:00,SEA,outbound,ATL,403.0,0 days 08:00:00.000000000,0 days 02:19:00.000000000,2018-07-21 01:56:00-04:00,2018-07-21 14:15:00-04:00,655.6666666666666
21,3,2018-07-20 14:30:00-07:00,2018-07-20 09:25:00-04:00,SEA,outbound,ATL,403.0,0 days 08:05:00.000000000,0 days 02:31:00.000000000,2018-07-20 04:54:00-04:00,2018-07-20 17:30:00-04:00,665.3333333333334
22,7,2018-07-20 19:10:00-07:00,2018-07-20 13:30:00-04:00,SEA,outbound,ATL,403.0,0 days 08:40:00.000000000,0 days 02:23:00.000000000,2018-07-20 09:07:00-04:00,2018-07-20 22:10:00-04:00,671.6666666666667
23,4,2018-07-20 15:00:00-07:00,2018-07-20 09:30:00-04:00,SEA,outbound,ATL,403.0,0 days 08:30:00.000000000,0 days 02:34:00.000000000,2018-07-20 04:56:00-04:00,2018-07-20 18:00:00-04:00,675.6666666666666
24,4,2018-07-20 00:10:00-07:00,2018-07-20 16:30:00-04:00,SEA,outbound,CLT,444.0,0 days 10:40:00.000000000,0 days 01:32:00.000000000,2018-07-20 12:58:00-04:00,2018-07-21 03:10:00-04:00,718.6666666666666
