,index,arrive_time,depart_time,destination,direction,origin,price,travel_time,depart_drive_time,depart_drive_time_stamp,arrive_time_act,agony
0,7,2018-07-28 22:25:00-04:00,2018-07-28 11:05:00-07:00,ATL,outbound,SEA,189.0,0 days 08:20:00.000000000,0 days 11:05:00.000000000,2018-07-27 22:00:00-07:00,2018-07-28 19:25:00-07:00,799.0
1,9,2018-07-30 01:20:00-04:00,2018-07-30 15:55:00-07:00,CLT,outbound,SEA,226.0,0 days 06:25:00.000000000,0 days 11:10:00.000000000,2018-07-30 02:45:00-07:00,2018-07-30 22:20:00-07:00,801.0
2,0,2018-07-28 17:15:00-04:00,2018-07-28 06:45:00-07:00,CLT,outbound,SEA,226.0,0 days 07:30:00.000000000,0 days 11:15:00.000000000,2018-07-27 17:30:00-07:00,2018-07-28 14:15:00-07:00,826.0
3,4,2018-07-28 23:55:00-04:00,2018-07-28 12:35:00-07:00,CLT,outbound,SEA,226.0,0 days 08:20:00.000000000,0 days 11:04:00.000000000,2018-07-27 23:31:00-07:00,2018-07-28 20:55:00-07:00,835.3333333333333
4,8,2018-07-30 01:20:00-04:00,2018-07-30 14:30:00-07:00,CLT,outbound,SEA,226.0,0 days 07:50:00.000000000,0 days 11:29:00.000000000,2018-07-30 01:01:00-07:00,2018-07-30 22:20:00-07:00,842.0
5,5,2018-07-30 22:50:00-04:00,2018-07-30 11:20:00-07:00,ATL,outbound,SEA,207.0,0 days 08:30:00.000000000,0 days 11:39:00.000000000,2018-07-29 21:41:00-07:00,2018-07-30 19:50:00-07:00,843.0
6,1,2018-07-28 23:55:00-04:00,2018-07-28 11:05:00-07:00,CLT,outbound,SEA,226.0,0 days 09:50:00.000000000,0 days 11:05:00.000000000,2018-07-27 22:00:00-07:00,2018-07-28 20:55:00-07:00,866.0
7,7,2018-07-30 01:20:00-04:00,2018-07-30 13:10:00-07:00,CLT,outbound,SEA,226.0,0 days 09:10:00.000000000,0 days 11:38:00.000000000,2018-07-29 23:32:00-07:00,2018-07-30 22:20:00-07:00,874.6666666666666
8,2,2018-07-30 17:05:00-04:00,2018-07-30 07:10:00-07:00,CLT,outbound,SEA,307.0,0 days 06:55:00.000000000,0 days 11:04:00.000000000,2018-07-29 18:06:00-07:00,2018-07-30 14:05:00-07:00,888.0
9,3,2018-07-29 00:50:00-04:00,2018-07-29 15:20:00-07:00,CLT,outbound,SEA,358.0,0 days 06:30:00.000000000,0 days 11:03:00.000000000,2018-07-29 02:17:00-07:00,2018-07-29 21:50:00-07:00,930.0
